"user_id","text","hashtags","location","followers_count"
"x1506103256862576646","[Download] Mobi Lonely Planet Vietnam, Cambodia, Laos &amp; Northern Thailand (Travel Guide) =&gt;&amp; https://t.co/enHKykJ5Wq",,"ny,usa",6
"x421094855","#Travel - What it’s like arriving in #Thailand now – tests, passes, expenses https://t.co/Tlk12dzyMr via @scmpnews","Travel Thailand","England",46365
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/e9e1MWT6Ku","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/ie8wYPAAWA","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/ie8wYPAAWA","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/e9e1MWT6Ku","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/CuVR2QJK0w","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/jzx64IDbRq","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/g3ous1j1Hx","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/qZfVI3P6xS","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/jzx64IDbRq","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/qZfVI3P6xS","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/7m6CwOwTMq","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/7m6CwOwlWS","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/IggoVuROdm","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/7m6CwOwlWS","conozcopablo Travel","",283
"x63140147","Bangkok, Thailand: Land of Smiles - Day 2 #conozcopablo #Travel https://t.co/IggoVuROdm","conozcopablo Travel","",283
"x35969404","Toscana Valley incredibly nice, incredibly bizarre part of Thailand. #KhaoYai #Thailand #travel https://t.co/oWQ6OAV7yN","KhaoYai Thailand travel","Thailand, Australia, SE Asia ",1748
"x1015683182060945408","Show me the pictures...How long you live here..I travel all around for 30 years..Sure in any site you can see few Chinese indispensable ... but 90% are local... Wait your pictures..when you want.The most are local,in Thailand can see many not local but from Myanmar not from China https://t.co/1EuN89hs74",,"",1248
"x1015683182060945408","I have lived in Thailand for 30 years and I travel around neighboring countries, locals work on construction sites, so the work is created, show a photo that shows the opposite. Governments steal with anyone who does the project and it is not the fault of the Chinese. https://t.co/qQbIZNCUih",,"",1248
"x2271378343","Driving is another way to travel and enjoy the view of Khao Sok. Highly recommended!

#AnurakCommunityLodge #Ecolodge #Travel #Experience #wanderlust #adventureseeker #doyoutravel #thailand https://t.co/QzjNA8WrfN","AnurakCommunityLodge Ecolodge Travel Experience wanderlust adventureseeker doyoutravel thailand","Khao Sok, Thailand",189
"x2271378343","No, this is not coconut milk! This is latex, being collected from an incised rubber tree. The milky latex extracted from the tree is the primary source of natural rubber.

#AnurakCommunityLodge #Ecolodge #Travel #Experience #wanderlust #adventureseeker #doyoutravel #thailand https://t.co/cOdeDr7NBF","AnurakCommunityLodge Ecolodge Travel Experience wanderlust adventureseeker doyoutravel thailand","Khao Sok, Thailand",189
"x2271378343","Rivers know this: there is no hurry. We shall get there some day.

#AnurakCommunityLodge #Ecolodge #Travel #Experience #wanderlust #adventureseeker #doyoutravel #thailand https://t.co/ECz1aKZ9Od","AnurakCommunityLodge Ecolodge Travel Experience wanderlust adventureseeker doyoutravel thailand","Khao Sok, Thailand",189
"x2271378343","When was the last time you woke up with nature at your feet?

Book now: https://t.co/5RsuGcKOjX

#AnurakCommunityLodge #Ecolodge #Travel #Experience #wanderlust #adventureseeker #doyoutravel #thailand https://t.co/IvCeZmsMLP","AnurakCommunityLodge Ecolodge Travel Experience wanderlust adventureseeker doyoutravel thailand","Khao Sok, Thailand",189
"x420067396","@UNESCO awards #Petchaburi culinary scene, now it's a hotspot in #Thailand | @ThaigerNews #Thailand  https://t.co/dX7uJW8xmP","Petchaburi Thailand Thailand","<U+0E01><U+0E23><U+0E38><U+0E07><U+0E40><U+0E17><U+0E1E><U+0E21><U+0E2B><U+0E32><U+0E19><U+0E04><U+0E23>, <U+0E1B><U+0E23><U+0E30><U+0E40><U+0E17><U+0E28><U+0E44><U+0E17><U+0E22>",5426
"x420067396","What It's Like To Visit #Thailand Right Now
 Travel Off Path @TraveloffPath  https://t.co/Htva6CXGDR https://t.co/Se85bQo56j","Thailand","<U+0E01><U+0E23><U+0E38><U+0E07><U+0E40><U+0E17><U+0E1E><U+0E21><U+0E2B><U+0E32><U+0E19><U+0E04><U+0E23>, <U+0E1B><U+0E23><U+0E30><U+0E40><U+0E17><U+0E28><U+0E44><U+0E17><U+0E22>",5426
"x420067396","#Centara Karon Resort #Phuket to reopen in April 
@ExploreCentara @BangkokPostNews #Thailand https://t.co/KsKlHseArr","Centara Phuket Thailand","<U+0E01><U+0E23><U+0E38><U+0E07><U+0E40><U+0E17><U+0E1E><U+0E21><U+0E2B><U+0E32><U+0E19><U+0E04><U+0E23>, <U+0E1B><U+0E23><U+0E30><U+0E40><U+0E17><U+0E28><U+0E44><U+0E17><U+0E22>",5426
"x420067396","#Heathrow and #Gatwick: Latest travel rules for #USA, #Dubai, #Japan, #SouthAfrica and #Thailand 
- MyLondon - @myldn  https://t.co/C8eqnSU4B2","Heathrow Gatwick USA Dubai Japan SouthAfrica Thailand","<U+0E01><U+0E23><U+0E38><U+0E07><U+0E40><U+0E17><U+0E1E><U+0E21><U+0E2B><U+0E32><U+0E19><U+0E04><U+0E23>, <U+0E1B><U+0E23><U+0E30><U+0E40><U+0E17><U+0E28><U+0E44><U+0E17><U+0E22>",5426
"x420067396","What it’s like arriving as a tourist in #Thailand now, from tests to passes and the costs involved 
South China Morning Post @SCMPNews  https://t.co/wKrj3QWECH","Thailand","<U+0E01><U+0E23><U+0E38><U+0E07><U+0E40><U+0E17><U+0E1E><U+0E21><U+0E2B><U+0E32><U+0E19><U+0E04><U+0E23>, <U+0E1B><U+0E23><U+0E30><U+0E40><U+0E17><U+0E28><U+0E44><U+0E17><U+0E22>",5426
"x1025225708535263233","#Songkran despair mounts

#Thailand #Travel #Tourism
#SoutheastAsia 
https://t.co/tQcp0MIZtG
Via https://t.co/u2ejamVURp https://t.co/Cj8qajerzR","Songkran Thailand Travel Tourism SoutheastAsia","Thailand",37
"x1025225708535263233","Race to end restrictions

#Thailand #Business #Tourism #Travel
#SoutheastAsia
https://t.co/idEfBSRwvd
Via https://t.co/4lsZYvkX4A https://t.co/mnivjHwLCP","Thailand Business Tourism Travel SoutheastAsia","Thailand",37
"x1025225708535263233","Group eyes extra 6 months for subsidy

#Thailand #Travel #Tourism
#SoutheastAsia  
https://t.co/sClVfNPBAp
Dusida Worrachaddejchai
Via https://t.co/u2ejamVURp https://t.co/Yf47Mpacok","Thailand Travel Tourism SoutheastAsia","Thailand",37
"x1012899007","Group eyes extra 6 months for subsidy

#Thailand #Travel #Tourism
#SoutheastAsia  
https://t.co/n8zgAKrvll
Dusida Worrachaddejchai
Via https://t.co/SRSyYirU4l https://t.co/svn2dJ926E","Thailand Travel Tourism SoutheastAsia","Singapore",379
"x1012899007","#Songkran despair mounts

#Thailand #Travel #Tourism
#SoutheastAsia 
https://t.co/evJXTyF7Yi
Via https://t.co/SRSyYirU4l https://t.co/YKh7rybzbK","Songkran Thailand Travel Tourism SoutheastAsia","Singapore",379
"x1012899007","Race to end restrictions

#Thailand #Business #Tourism #Travel
#SoutheastAsia
https://t.co/ztGU99IERU
Via https://t.co/SRSyYirU4l https://t.co/a0KO0fgmVA","Thailand Business Tourism Travel SoutheastAsia","Singapore",379
"x23922797","What it’s like arriving as a tourist in Thailand now, from tests to passes and the costs involved https://t.co/kVRtlvFGTp",,"Hong Kong",867928
"x1235103054145433600","Mekong Tourism Coordinating Office appoints new Executive Director #Thailand #travel #wanderlust #amazingthailand #mythailandbucketlist https://t.co/Yl2CPzf5G2","Thailand travel wanderlust amazingthailand mythailandbucketlist","",157
"x1235103054145433600","‘Awakening Bangkok 2021/2022’ festival of lights to energise iconic neighbourhoods #Thailand #travel #wanderlust #amazingthailand #mythailandbucketlist https://t.co/Y14wMVdcy2","Thailand travel wanderlust amazingthailand mythailandbucketlist","",157
"x1235103054145433600","Surfing in Phuket #Thailand #travel #wanderlust #amazingthailand #mythailandbucketlist https://t.co/FfqSJzXYJO","Thailand travel wanderlust amazingthailand mythailandbucketlist","",157
"x1235103054145433600","The charm of Chanthaburi #Thailand #news #BangkokPost https://t.co/iMkIacxVxk","Thailand news BangkokPost","",157
"x1235103054145433600","TAT showcases digital transformation of Thai tourism at Global Tourism Forum 2022 #Thailand #travel #wanderlust #amazingthailand #mythailandbucketlist https://t.co/S4Gfa297Qu","Thailand travel wanderlust amazingthailand mythailandbucketlist","",157
"x1235103054145433600","Student’s travel request still denied #Thailand #news #ThailandUpdate https://t.co/KJJ7bSrwKt","Thailand news ThailandUpdate","",157
"x1235103054145433600","TAT launches new ‘Monopoly: Phuket Edition’ board game #Thailand #travel #wanderlust #amazingthailand #mythailandbucketlist https://t.co/85rpygrpgt","Thailand travel wanderlust amazingthailand mythailandbucketlist","",157
"x1235103054145433600","Pre-travel bug tests to end #Thailand #news #BangkokPost https://t.co/9rLnQgMB2r","Thailand news BangkokPost","",157
"x3637843213","10 Best Places To Visit In THAILAND - Thailand Travel 2022
 
#SoutheastAsiaDestinations #SoutheastAsiaTour #SoutheastAsiaTravel #SoutheastAsiaTrip #SoutheastAsiaVacation #YouTube
 
https://t.co/OrqPPB5Hd7 https://t.co/gaChj0e5UT","SoutheastAsiaDestinations SoutheastAsiaTour SoutheastAsiaTravel SoutheastAsiaTrip SoutheastAsiaVacation YouTube","",5645
"x3637843213","EmQuartier - A Luxury Shopping Landmark - Bangkok, Thailand Travel
 
#SoutheastAsiaDestinations #SoutheastAsiaTour #SoutheastAsiaTravel #SoutheastAsiaTrip #SoutheastAsiaVacation #YouTube
 
https://t.co/KaXPKIwj2r https://t.co/ijNP86TTiq","SoutheastAsiaDestinations SoutheastAsiaTour SoutheastAsiaTravel SoutheastAsiaTrip SoutheastAsiaVacation YouTube","",5645
"x3196089602","What it's like arriving as a tourist in Thailand now, from tests to passes and the costs involved https://t.co/iTP8hk6cgV",,"",378
"x3049864549","At the Great Hornbill Winery Restaurant <U+0001F37D><U+FE0F> we speak the good food language <U+0001F44C> Dine amidst the vineyards <U+0001F347> of PB Valley #PBValley #Vineyard #Winery #FarmTours #thegreathornbillgrill #diningwithaview #SHAPlus #FoodandTravel #Food #Travel #Khaoyai #Thailand https://t.co/gcYMUKhn94","PBValley Vineyard Winery FarmTours thegreathornbillgrill diningwithaview SHAPlus FoodandTravel Food Travel Khaoyai Thailand","14.575565 101.234830  ",174
"x3049864549","Pirom Cafe's secret recipe <U+0001F49A> Dark Matcha Latte served with Green Tea Choux Cream not to be missed when at Khao Yai <U+0001F60A> #PiromCafé is close to #PBValley #Vineyard <U+0001F347> #Cafe@theLake #FoodandTravel #Food #Travel #Khaoyai #Thailand https://t.co/VNSxqLpcZv","PiromCafé PBValley Vineyard Cafe FoodandTravel Food Travel Khaoyai Thailand","14.575565 101.234830  ",174
"x1485924645199302660","Gay Travel to Thailand: our country guide to the land of smiles https://t.co/y3nhKJk9MF lewat @nomadicboys",,"",0
"x623298279","What it’s like arriving as a tourist in Thailand now, from tests to passes and the costs involved
https://t.co/HqQblDjtth https://t.co/mhNaT6xyWC",,"Hong Kong",1293
"x1496066970881560580","The Wat Kaeo Korawaram in Krabi, The Wat Yannasangwaram in Ampoe Chonburi and The Andromeda Condo Resort in Pattaya, Thailand. Thailand never disappoints. Travel, Taste, Touch, Smell, Feel and Widen Your World<U+0001F30E><U+0001F30E><U+2708><U+FE0F><U+2708><U+FE0F> https://t.co/xn4VRyZ9GK",,"",11
"x1496066970881560580","Some pristine and mesmerizing temples and folklore in Thailand. Travel, Taste, Touch, Smell, Feel and Widen Your World<U+2708><U+FE0F><U+0001F30E><U+2708><U+FE0F><U+0001F30E>. https://t.co/64s3YXSEkn",,"",11
